,ICD10,ICD10_formatted,PHECODE
3485,P91.5,P915,656.0
3486,H50.6,H506,378.1
3487,I87.0,I870,452.8
3488,J15.8,J158,480.1
3489,C51,C51,184.2
3490,E26.1,E261,255.12
3491,H92.2,H922,381.9
3492,Q22.9,Q229,747.12
3493,T41.1,T411,967.0
3494,H47.0,H470,377.3
3495,T39.0,T390,965.3
3496,O42,O42,653.0
3497,L86,L86,701.1
3498,Q79.8,Q798,756.0
3499,Z94.0,Z940,587.0
3500,I61.9,I619,430.2
3501,Q56.4,Q564,751.1
3502,G10,G10,333.3
3503,Y58.0,Y580,941.0
3504,Q95.4,Q954,758.1
3505,S80.1,S801,916.0
3506,H21.1,H211,379.5
3507,Y58.4,Y584,941.0
3508,C92,C92,204.2
3509,Q79.8,Q798,756.3
3510,E67.0,E670,278.0
3511,E87.7,E877,276.6
3512,I73.9,I739,443.9
3513,M06.4,M064,714.0
3514,F52.0,F520,302.1
3515,M87.1,M871,733.4
3516,H94.8,H948,388.0
3517,C45,C45,195.1
3518,Z85,Z85,195.1
3519,P05.9,P059,637.0
3520,C43.4,C434,172.11
3521,T74.1,T741,1015.0
3522,R78.6,R786,790.0
3523,C64-C68.9,C64-C689,189.4
3524,C25.0,C250,157.0
3525,C54.0,C540,182.0
3526,I20.8,I208,411.3
3527,G00.0,G000,320.0
3528,L01,L01,686.2
3529,M20.6,M206,735.2
3530,Q35.5,Q355,749.1
3531,O20-O29.9,O20-O299,636.3
3532,L74.3,L743,705.0
3533,A83,A83,323.0
3534,C84.1,C841,202.2
3535,T13.1,T131,1009.0
3536,Y40.2,Y402,960.1
3537,A57,A57,90.0
3538,K70.0,K700,317.11
3539,D21.2,D212,215.0
3540,Q70,Q70,755.3
3541,N08,N08,580.31
3542,S50.0,S500,916.0
3543,T19.2,T192,1001.0
3544,T13.1,T131,871.0
3545,H81.0,H810,386.1
3546,J11.0,J110,481.0
3547,M94,M94,733.0
3548,Y53.7,Y537,979.0
3549,G83.2,G832,344.0
3550,Y53.7,Y537,973.0
3551,E16.2,E162,251.1
3552,C00.5,C005,145.1
3553,K76.9,K769,573.0
3554,M48.8,M488,724.8
3555,G00,G00,320.0
3556,I74.8,I748,444.0
3557,S04.6,S046,907.0
3558,J11.0,J110,480.0
3559,C10.2,C102,149.1
3560,Y42.7,Y427,962.3
3561,M81.6,M816,743.13
3562,K90.8,K908,557.0
3563,P28.0,P280,656.2
3564,B18.2,B182,70.3
3565,K40.3,K403,550.1
3566,M77.5,M775,726.1
3567,E87.2,E872,276.41
3568,C44.1,C441,172.2
3569,N34.3,N343,592.21
3570,M81.6,M816,743.11
3571,I23.6,I236,411.2
3572,R84.8,R848,1010.0
3573,Q26.5,Q265,747.2
3574,C91.1,C911,204.12
3575,B25,B25,79.0
3576,T81.8,T818,1011.0
3577,D37.6,D376,199.0
3578,B51.0,B510,133.0
3579,H95.1,H951,381.3
3580,Z49.1,Z491,585.31
3581,D50-D53.9,D50-D539,281.0
3582,K13.3,K133,528.6
3583,B20.8,B208,71.1
3584,M87.0,M870,733.4
3585,T56.6,T566,985.0
3586,O68.1,O681,655.0
3587,M03.6,M036,711.2
3588,A91,A91,79.0
3589,D12.3,D123,208.0
3590,A70-A74.9,A70-A749,79.0
3591,H83.0,H830,386.3
3592,S12.0,S120,805.0
3593,N30.8,N308,592.1
3594,F41.1,F411,300.11
3595,S56.0,S560,359.2
3596,O10-O16.9,O10-O169,642.0
3597,B05.8,B058,79.0
3598,D10.0,D100,210.0
3599,K45.0,K450,550.0
3600,C40.0,C400,170.1
3601,I89.0,I890,450.0
3602,K05.5,K055,523.0
3603,N83.8,N838,619.1
3604,J47,J47,496.3
3605,T28.0,T280,1000.0
3606,H80-H83.9,H80-H839,386.0
3607,S56.0,S560,728.0
3608,I49.0,I490,427.4
3609,Y51,Y51,971.0
3610,I49.0,I490,427.41
3611,F80.3,F803,315.2
3612,C03.1,C031,145.4
3613,S56.0,S560,1009.0
3614,S95.0,S950,1007.0
3615,D50-D89.9,D50-D899,281.0
3616,I77.1,I771,447.1
3617,A85.0,A850,323.0
3618,Q76.4,Q764,754.0
3619,L90.9,L909,701.0
3620,B60.8,B608,136.0
3621,R47.8,R478,292.1
3622,D30.2,D302,223.0
3623,K92.8,K928,569.0
3624,S12.1,S121,805.0
3625,B30,B30,369.2
3626,Q82.3,Q823,691.3
3627,L55,L55,938.1
3628,Q93.3,Q933,758.1
3629,J62,J62,500.2
3630,S06.8,S068,819.0
3631,S25.3,S253,1007.0
3632,Q86,Q86,658.0
3633,S06.8,S068,1009.0
3634,M72.3,M723,728.0
3635,R52.9,R529,1005.0
3636,H43.0,H430,379.2
3637,R52.9,R529,338.1
3638,R14,R14,561.2
3639,B43.0,B430,117.0
3640,C22.7,C227,155.1
3641,I86,I86,454.0
3642,C34.8,C348,165.1
3643,C22.9,C229,155.0
3644,Q82.1,Q821,691.3
3645,D64.2,D642,285.3
3646,J63.1,J631,500.2
3647,F78.9,F789,315.3
3648,K63.9,K639,569.0
3649,O22.5,O225,671.0
3650,I49.3,I493,427.6
3651,K63,K63,569.0
3652,I36,I36,395.3
3653,A98.0,A980,79.0
3654,D10.7,D107,210.0
3655,D68.3,D683,286.5
3656,J67.8,J678,500.1
3657,A79,A79,136.0
3658,Z95.5,Z955,411.4
3659,S95.1,S951,1007.0
3660,M30.0,M300,446.6
3661,C82.0,C820,202.2
3662,C49.1,C491,170.2
3663,O85-O92.9,O85-O929,647.3
3664,F50.0,F500,305.21
3665,Q64.1,Q641,751.2
3666,A19.2,A192,10.0
3667,K08.8,K088,525.0
3668,Z28.9,Z289,941.0
3669,B38.2,B382,480.3
3670,S90.7,S907,915.0
3671,C45.9,C459,195.1
3672,S64.1,S641,907.0
3673,N40,N40,600.0
3674,T60.1,T601,989.0
3675,P14.2,P142,665.0
3676,Q20.9,Q209,747.1
3677,C15-C26.9,C15-C269,150.0
3678,Z64.0,Z640,654.0
3679,Z54.4,Z544,809.0
3680,P70.4,P704,656.3
3681,J15.0,J150,480.1
3682,O28.0,O280,656.0
3683,Z24.5,Z245,1010.0
3684,E28.3,E283,627.5
3685,Z24.4,Z244,1010.0
3686,T84,T84,858.0
3687,B27.9,B279,79.2
3688,G31.8,G318,331.0
3689,K27.3,K273,531.4
3690,C62,C62,187.2
3691,Z22.4,Z224,1010.0
3692,R19.3,R193,579.0
3693,D80.2,D802,279.11
3694,N91.1,N911,626.11
3695,Q91.5,Q915,758.1
3696,B34.8,B348,79.0
3697,S63.5,S635,840.0
3698,N03.6,N036,580.11
3699,B06.8,B068,79.0
3700,C67.1,C671,189.21
3701,T42.2,T422,966.0
3702,B48.4,B484,117.4
3703,E27.1,E271,255.21
3704,C34.1,C341,165.1
