,ICD10,ICD10_formatted,PHECODE
15279,,S290,1009.0
15280,,S297,1009.0
15281,,S298,1009.0
15282,,S299,1009.0
15283,,I20,411.0
15284,,I200,411.0
15285,,I201,411.0
15286,,I208,411.0
15287,,I209,411.0
15288,,I21,411.0
15289,,I210,411.0
15290,,I211,411.0
15291,,I212,411.0
15292,,I213,411.0
15293,,I214,411.0
15294,,I219,411.0
15295,,I21X,411.0
15296,,I22,411.0
15297,,I220,411.0
15298,,I221,411.0
15299,,I228,411.0
15300,,I229,411.0
15301,,I23,411.0
15302,,I230,411.0
15303,,I231,411.0
15304,,I232,411.0
15305,,I233,411.0
15306,,I234,411.0
15307,,I235,411.0
15308,,I236,411.0
15309,,I238,411.0
15310,,I24,411.0
15311,,I240,411.0
15312,,I241,411.0
15313,,I248,411.0
15314,,I249,411.0
15315,,I25,411.0
15316,,I250,411.0
15317,,I251,411.0
15318,,I252,411.0
15319,,I253,411.0
15320,,I254,411.0
15321,,I255,411.0
15322,,I256,411.0
15323,,I258,411.0
15324,,I259,411.0
15325,,I20,411.8
15326,,I200,411.8
15327,,I201,411.8
15328,,I208,411.8
15329,,I209,411.8
15330,,I21,411.8
15331,,I210,411.8
15332,,I211,411.8
15333,,I212,411.8
15334,,I213,411.8
15335,,I214,411.8
15336,,I219,411.8
15337,,I21X,411.8
15338,,I22,411.8
15339,,I220,411.8
15340,,I221,411.8
15341,,I228,411.8
15342,,I229,411.8
15343,,I23,411.8
15344,,I230,411.8
15345,,I231,411.8
15346,,I232,411.8
15347,,I233,411.8
15348,,I234,411.8
15349,,I235,411.8
15350,,I236,411.8
15351,,I238,411.8
15352,,I24,411.8
15353,,I240,411.8
15354,,I241,411.8
15355,,I248,411.8
15356,,I249,411.8
15357,,I25,411.8
15358,,I250,411.8
15359,,I251,411.8
15360,,I252,411.8
15361,,I253,411.8
15362,,I254,411.8
15363,,I255,411.8
15364,,I256,411.8
15365,,I258,411.8
15366,,I259,411.8
15367,,I20,411.4
15368,,I200,411.4
15369,,I201,411.4
15370,,I208,411.4
15371,,I209,411.4
15372,,I21,411.4
15373,,I210,411.4
15374,,I211,411.4
15375,,I212,411.4
15376,,I213,411.4
15377,,I214,411.4
15378,,I219,411.4
15379,,I21X,411.4
15380,,I22,411.4
15381,,I220,411.4
15382,,I221,411.4
15383,,I228,411.4
15384,,I229,411.4
15385,,I23,411.4
15386,,I230,411.4
15387,,I231,411.4
15388,,I232,411.4
15389,,I233,411.4
15390,,I234,411.4
15391,,I235,411.4
15392,,I236,411.4
15393,,I238,411.4
15394,,I24,411.4
15395,,I240,411.4
15396,,I241,411.4
15397,,I248,411.4
15398,,I249,411.4
15399,,I25,411.4
15400,,I250,411.4
15401,,I251,411.4
15402,,I252,411.4
15403,,I253,411.4
15404,,I254,411.4
15405,,I255,411.4
15406,,I256,411.4
15407,,I258,411.4
15408,,I259,411.4
15409,,R80,269.0
15410,,R81,269.0
15411,,R82,269.0
15412,,R820,269.0
15413,,R821,269.0
15414,,R822,269.0
15415,,R823,269.0
15416,,R824,269.0
15417,,R825,269.0
15418,,R826,269.0
15419,,R827,269.0
15420,,R828,269.0
15421,,R829,269.0
15422,,K65,568.0
15423,,K650,568.0
15424,,K658,568.0
15425,,K659,568.0
15426,,K66,568.0
15427,,K660,568.0
15428,,K661,568.0
15429,,K668,568.0
15430,,K669,568.0
15431,,K67,568.0
15432,,K670,568.0
15433,,K671,568.0
15434,,K672,568.0
15435,,K673,568.0
15436,,K678,568.0
15437,,M95,738.0
15438,,M950,738.0
15439,,M951,738.0
15440,,M952,738.0
15441,,M953,738.0
15442,,M954,738.0
15443,,M955,738.0
15444,,M958,738.0
15445,,M959,738.0
15446,,M9596,738.0
15447,,M96,738.0
15448,,M960,738.0
15449,,M961,738.0
15450,,M962,738.0
15451,,M963,738.0
15452,,M964,738.0
15453,,M965,738.0
15454,,M966,738.0
15455,,M9663,738.0
15456,,M9665,738.0
15457,,M968,738.0
15458,,M969,738.0
15459,,M99,738.0
15460,,M990,738.0
15461,,M9900,738.0
15462,,M9901,738.0
15463,,M9902,738.0
15464,,M9903,738.0
15465,,M9904,738.0
15466,,M9905,738.0
15467,,M9906,738.0
15468,,M9907,738.0
15469,,M9908,738.0
15470,,M9909,738.0
15471,,M991,738.0
15472,,M9910,738.0
15473,,M9911,738.0
15474,,M9912,738.0
15475,,M9913,738.0
15476,,M9914,738.0
15477,,M9915,738.0
15478,,M9916,738.0
15479,,M9917,738.0
15480,,M9918,738.0
15481,,M9919,738.0
15482,,M992,738.0
15483,,M9920,738.0
15484,,M9921,738.0
15485,,M9922,738.0
15486,,M9923,738.0
15487,,M9924,738.0
15488,,M9925,738.0
15489,,M9926,738.0
15490,,M9927,738.0
15491,,M9928,738.0
15492,,M9929,738.0
15493,,M993,738.0
15494,,M9930,738.0
15495,,M9931,738.0
15496,,M9932,738.0
15497,,M9933,738.0
15498,,M9934,738.0
15499,,M9935,738.0
15500,,M9936,738.0
15501,,M9937,738.0
15502,,M9938,738.0
15503,,M9939,738.0
15504,,M994,738.0
15505,,M9940,738.0
15506,,M9941,738.0
15507,,M9942,738.0
15508,,M9943,738.0
15509,,M9944,738.0
15510,,M9945,738.0
15511,,M9946,738.0
15512,,M9947,738.0
15513,,M9948,738.0
15514,,M9949,738.0
15515,,M995,738.0
15516,,M9950,738.0
15517,,M9951,738.0
15518,,M9952,738.0
15519,,M9953,738.0
15520,,M9954,738.0
15521,,M9955,738.0
15522,,M9956,738.0
15523,,M9957,738.0
15524,,M9958,738.0
15525,,M9959,738.0
15526,,M996,738.0
15527,,M9960,738.0
15528,,M9961,738.0
15529,,M9962,738.0
15530,,M9963,738.0
15531,,M9964,738.0
15532,,M9965,738.0
15533,,M9966,738.0
15534,,M9967,738.0
15535,,M9968,738.0
15536,,M9969,738.0
15537,,M997,738.0
15538,,M9970,738.0
15539,,M9971,738.0
15540,,M9972,738.0
15541,,M9973,738.0
15542,,M9974,738.0
15543,,M9975,738.0
15544,,M9976,738.0
15545,,M9977,738.0
15546,,M9978,738.0
15547,,M9979,738.0
15548,,M998,738.0
15549,,M9980,738.0
15550,,M9981,738.0
15551,,M9982,738.0
15552,,M9983,738.0
15553,,M9984,738.0
15554,,M9985,738.0
15555,,M9986,738.0
15556,,M9987,738.0
15557,,M9988,738.0
15558,,M9989,738.0
15559,,M999,738.0
15560,,M9990,738.0
15561,,M9991,738.0
15562,,M9992,738.0
15563,,M9993,738.0
15564,,M9994,738.0
15565,,M9995,738.0
15566,,M9996,738.0
15567,,M9997,738.0
15568,,M9998,738.0
15569,,M9999,738.0
15570,,L50,695.0
15571,,L500,695.0
15572,,L501,695.0
15573,,L502,695.0
15574,,L503,695.0
15575,,L504,695.0
15576,,L505,695.0
15577,,L506,695.0
15578,,L508,695.0
15579,,L509,695.0
15580,,L51,695.0
15581,,L510,695.0
15582,,L511,695.0
15583,,L512,695.0
15584,,L518,695.0
15585,,L519,695.0
15586,,L52,695.0
15587,,L53,695.0
15588,,L530,695.0
15589,,L531,695.0
15590,,L532,695.0
15591,,L533,695.0
15592,,L538,695.0
15593,,L539,695.0
15594,,L54,695.0
15595,,L540,695.0
15596,,L548,695.0
15597,,T33,1014.0
15598,,T330,1014.0
15599,,T331,1014.0
15600,,T332,1014.0
15601,,T333,1014.0
15602,,T334,1014.0
15603,,T335,1014.0
15604,,T336,1014.0
15605,,T337,1014.0
15606,,T338,1014.0
15607,,T339,1014.0
15608,,T34,1014.0
15609,,T340,1014.0
15610,,T341,1014.0
15611,,T342,1014.0
15612,,T343,1014.0
15613,,T344,1014.0
15614,,T345,1014.0
15615,,T346,1014.0
15616,,T347,1014.0
15617,,T348,1014.0
15618,,T349,1014.0
15619,,T35,1014.0
15620,,T350,1014.0
15621,,T351,1014.0
15622,,T352,1014.0
15623,,T353,1014.0
15624,,T354,1014.0
15625,,T355,1014.0
15626,,T356,1014.0
15627,,T357,1014.0
15628,,Q65,756.0
15629,,Q650,756.0
15630,,Q651,756.0
15631,,Q652,756.0
15632,,Q653,756.0
15633,,Q654,756.0
15634,,Q655,756.0
15635,,Q656,756.0
15636,,Q658,756.0
15637,,Q659,756.0
15638,,Q66,756.0
15639,,Q660,756.0
15640,,Q661,756.0
15641,,Q662,756.0
15642,,Q663,756.0
15643,,Q664,756.0
15644,,Q665,756.0
15645,,Q666,756.0
15646,,Q667,756.0
15647,,Q668,756.0
15648,,Q669,756.0
15649,,Q67,756.0
15650,,Q670,756.0
15651,,Q671,756.0
15652,,Q672,756.0
15653,,Q673,756.0
15654,,Q674,756.0
15655,,Q675,756.0
15656,,Q676,756.0
15657,,Q677,756.0
15658,,Q678,756.0
15659,,Q68,756.0
15660,,Q680,756.0
15661,,Q681,756.0
15662,,Q682,756.0
15663,,Q683,756.0
15664,,Q684,756.0
15665,,Q685,756.0
15666,,Q688,756.0
15667,,Q69,756.0
15668,,Q690,756.0
15669,,Q691,756.0
15670,,Q692,756.0
15671,,Q699,756.0
15672,,Q70,756.0
15673,,Q700,756.0
15674,,Q701,756.0
15675,,Q702,756.0
15676,,Q703,756.0
15677,,Q704,756.0
15678,,Q709,756.0
15679,,Q71,756.0
15680,,Q710,756.0
15681,,Q711,756.0
15682,,Q712,756.0
15683,,Q713,756.0
15684,,Q714,756.0
15685,,Q715,756.0
15686,,Q716,756.0
15687,,Q718,756.0
15688,,Q719,756.0
15689,,Q72,756.0
15690,,Q720,756.0
15691,,Q721,756.0
15692,,Q722,756.0
15693,,Q723,756.0
15694,,Q724,756.0
15695,,Q725,756.0
15696,,Q726,756.0
15697,,Q727,756.0
15698,,Q728,756.0
15699,,Q729,756.0
15700,,Q73,756.0
15701,,Q730,756.0
15702,,Q731,756.0
15703,,Q738,756.0
15704,,Q74,756.0
15705,,Q740,756.0
15706,,Q741,756.0
15707,,Q742,756.0
15708,,Q743,756.0
15709,,Q748,756.0
15710,,Q749,756.0
15711,,Q75,756.0
15712,,Q750,756.0
15713,,Q751,756.0
15714,,Q752,756.0
15715,,Q753,756.0
15716,,Q754,756.0
15717,,Q755,756.0
15718,,Q758,756.0
15719,,Q759,756.0
15720,,Q76,756.0
15721,,Q760,756.0
15722,,Q761,756.0
15723,,Q762,756.0
15724,,Q763,756.0
15725,,Q764,756.0
15726,,Q765,756.0
15727,,Q766,756.0
15728,,Q767,756.0
15729,,Q768,756.0
15730,,Q769,756.0
15731,,Q77,756.0
15732,,Q770,756.0
15733,,Q771,756.0
15734,,Q772,756.0
15735,,Q773,756.0
15736,,Q774,756.0
15737,,Q775,756.0
15738,,Q776,756.0
15739,,Q777,756.0
15740,,Q778,756.0
15741,,Q779,756.0
15742,,Q78,756.0
15743,,Q780,756.0
15744,,Q781,756.0
15745,,Q782,756.0
15746,,Q783,756.0
15747,,Q784,756.0
15748,,Q785,756.0
15749,,Q786,756.0
15750,,Q788,756.0
15751,,Q789,756.0
15752,,Q79,756.0
15753,,Q790,756.0
15754,,Q791,756.0
15755,,Q792,756.0
15756,,Q793,756.0
15757,,Q794,756.0
15758,,Q795,756.0
15759,,Q796,756.0
15760,,Q798,756.0
15761,,Q799,756.0
15762,,F70,315.3
15763,,F700,315.3
15764,,F701,315.3
15765,,F708,315.3
15766,,F709,315.3
15767,,F71,315.3
15768,,F710,315.3
15769,,F711,315.3
15770,,F718,315.3
15771,,F719,315.3
15772,,F72,315.3
15773,,F720,315.3
15774,,F721,315.3
15775,,F728,315.3
15776,,F729,315.3
15777,,F73,315.3
15778,,F730,315.3
15779,,F731,315.3
15780,,F738,315.3
15781,,F739,315.3
15782,,F78,315.3
15783,,F780,315.3
15784,,F781,315.3
15785,,F788,315.3
15786,,F789,315.3
15787,,F79,315.3
15788,,F790,315.3
15789,,F791,315.3
15790,,F798,315.3
15791,,F799,315.3
15792,,M91,742.8
15793,,M910,742.8
15794,,M9100,742.8
15795,,M9101,742.8
15796,,M9102,742.8
15797,,M9103,742.8
15798,,M9104,742.8
15799,,M9105,742.8
15800,,M9106,742.8
15801,,M9107,742.8
15802,,M9108,742.8
15803,,M9109,742.8
15804,,M911,742.8
15805,,M9110,742.8
15806,,M9111,742.8
15807,,M9112,742.8
15808,,M9113,742.8
15809,,M9114,742.8
15810,,M9115,742.8
15811,,M9116,742.8
15812,,M9117,742.8
15813,,M9118,742.8
15814,,M9119,742.8
15815,,M912,742.8
15816,,M9120,742.8
15817,,M9121,742.8
15818,,M9122,742.8
15819,,M9123,742.8
15820,,M9124,742.8
15821,,M9125,742.8
15822,,M9126,742.8
15823,,M9127,742.8
15824,,M9128,742.8
15825,,M9129,742.8
15826,,M913,742.8
15827,,M9130,742.8
15828,,M9131,742.8
15829,,M9132,742.8
15830,,M9133,742.8
15831,,M9134,742.8
15832,,M9135,742.8
15833,,M9136,742.8
15834,,M9137,742.8
15835,,M9138,742.8
15836,,M9139,742.8
15837,,M918,742.8
15838,,M9180,742.8
15839,,M9181,742.8
15840,,M9182,742.8
15841,,M9183,742.8
15842,,M9184,742.8
15843,,M9185,742.8
15844,,M9186,742.8
15845,,M9187,742.8
15846,,M9188,742.8
15847,,M9189,742.8
15848,,M919,742.8
15849,,M9190,742.8
15850,,M9191,742.8
15851,,M9192,742.8
15852,,M9193,742.8
15853,,M9194,742.8
15854,,M9195,742.8
15855,,M9196,742.8
15856,,M9197,742.8
15857,,M9198,742.8
15858,,M9199,742.8
15859,,M92,742.8
15860,,M920,742.8
15861,,M921,742.8
15862,,M9210,742.8
15863,,M922,742.8
15864,,M923,742.8
15865,,M924,742.8
15866,,M925,742.8
15867,,M9250,742.8
15868,,M9251,742.8
15869,,M926,742.8
15870,,M927,742.8
15871,,M928,742.8
15872,,M929,742.8
15873,,M93,742.8
15874,,M930,742.8
15875,,M931,742.8
15876,,M932,742.8
15877,,M9326,742.8
15878,,M938,742.8
15879,,M9386,742.8
15880,,M939,742.8
15881,,M94,742.8
15882,,M940,742.8
15883,,M9400,742.8
15884,,M9401,742.8
15885,,M9402,742.8
15886,,M9403,742.8
15887,,M9404,742.8
15888,,M9405,742.8
15889,,M9406,742.8
15890,,M9407,742.8
15891,,M9408,742.8
15892,,M9409,742.8
15893,,M941,742.8
15894,,M9410,742.8
15895,,M9411,742.8
15896,,M9412,742.8
15897,,M9413,742.8
15898,,M9414,742.8
15899,,M9415,742.8
15900,,M9416,742.8
15901,,M9417,742.8
15902,,M9418,742.8
15903,,M9419,742.8
15904,,M942,742.8
15905,,M9420,742.8
15906,,M9421,742.8
15907,,M9422,742.8
15908,,M9423,742.8
15909,,M9424,742.8
15910,,M9425,742.8
15911,,M9426,742.8
15912,,M9427,742.8
15913,,M9428,742.8
15914,,M9429,742.8
15915,,M943,742.8
15916,,M9430,742.8
15917,,M9431,742.8
15918,,M9432,742.8
15919,,M9433,742.8
15920,,M9434,742.8
15921,,M9435,742.8
15922,,M9436,742.8
15923,,M9437,742.8
15924,,M9438,742.8
15925,,M9439,742.8
15926,,M948,742.8
15927,,M9480,742.8
15928,,M9481,742.8
15929,,M9482,742.8
15930,,M9483,742.8
15931,,M9484,742.8
15932,,M9485,742.8
15933,,M9486,742.8
15934,,M9487,742.8
15935,,M9488,742.8
15936,,M9489,742.8
15937,,M949,742.8
15938,,M9490,742.8
15939,,M9491,742.8
15940,,M9492,742.8
15941,,M9493,742.8
15942,,M9494,742.8
15943,,M9495,742.8
15944,,M9496,742.8
15945,,M9497,742.8
15946,,M9498,742.8
15947,,M9499,742.8
15948,,Q20,747.0
15949,,Q200,747.0
15950,,Q201,747.0
15951,,Q202,747.0
15952,,Q203,747.0
15953,,Q204,747.0
15954,,Q205,747.0
15955,,Q206,747.0
15956,,Q208,747.0
15957,,Q209,747.0
15958,,Q21,747.0
15959,,Q210,747.0
15960,,Q211,747.0
15961,,Q212,747.0
15962,,Q213,747.0
15963,,Q214,747.0
15964,,Q218,747.0
15965,,Q219,747.0
15966,,Q22,747.0
15967,,Q220,747.0
15968,,Q221,747.0
15969,,Q222,747.0
15970,,Q223,747.0
15971,,Q224,747.0
15972,,Q225,747.0
15973,,Q226,747.0
15974,,Q228,747.0
15975,,Q229,747.0
15976,,Q23,747.0
15977,,Q230,747.0
15978,,Q231,747.0
15979,,Q232,747.0
15980,,Q233,747.0
15981,,Q234,747.0
15982,,Q238,747.0
15983,,Q239,747.0
15984,,Q24,747.0
15985,,Q240,747.0
15986,,Q241,747.0
15987,,Q242,747.0
15988,,Q243,747.0
15989,,Q244,747.0
15990,,Q245,747.0
15991,,Q246,747.0
15992,,Q248,747.0
15993,,Q249,747.0
15994,,Q25,747.0
15995,,Q250,747.0
15996,,Q251,747.0
15997,,Q252,747.0
15998,,Q253,747.0
15999,,Q254,747.0
16000,,Q255,747.0
16001,,Q256,747.0
16002,,Q257,747.0
16003,,Q258,747.0
16004,,Q259,747.0
16005,,Q26,747.0
16006,,Q260,747.0
16007,,Q261,747.0
16008,,Q262,747.0
16009,,Q263,747.0
16010,,Q264,747.0
16011,,Q265,747.0
16012,,Q266,747.0
16013,,Q268,747.0
16014,,Q269,747.0
16015,,Q27,747.0
16016,,Q270,747.0
16017,,Q271,747.0
16018,,Q272,747.0
16019,,Q273,747.0
16020,,Q274,747.0
16021,,Q278,747.0
16022,,Q279,747.0
16023,,Q28,747.0
16024,,Q280,747.0
16025,,Q281,747.0
16026,,Q282,747.0
16027,,Q283,747.0
16028,,Q288,747.0
16029,,Q289,747.0
16030,,F99,300.0
16031,,M40,742.9
16032,,M400,742.9
16033,,M4000,742.9
16034,,M4001,742.9
16035,,M4002,742.9
16036,,M4003,742.9
16037,,M4004,742.9
16038,,M4005,742.9
16039,,M4006,742.9
16040,,M4007,742.9
16041,,M4008,742.9
16042,,M4009,742.9
16043,,M401,742.9
16044,,M4010,742.9
16045,,M4011,742.9
16046,,M4012,742.9
16047,,M4013,742.9
16048,,M4014,742.9
16049,,M4015,742.9
16050,,M4016,742.9
16051,,M4017,742.9
16052,,M4018,742.9
16053,,M4019,742.9
16054,,M402,742.9
16055,,M4020,742.9
16056,,M4021,742.9
16057,,M4022,742.9
16058,,M4023,742.9
16059,,M4024,742.9
16060,,M4025,742.9
16061,,M4026,742.9
16062,,M4027,742.9
16063,,M4028,742.9
16064,,M4029,742.9
16065,,M403,742.9
16066,,M4030,742.9
16067,,M4031,742.9
16068,,M4032,742.9
16069,,M4033,742.9
16070,,M4034,742.9
16071,,M4035,742.9
16072,,M4036,742.9
16073,,M4037,742.9
16074,,M4038,742.9
16075,,M4039,742.9
16076,,M404,742.9
16077,,M4040,742.9
16078,,M4041,742.9
16079,,M4042,742.9
16080,,M4043,742.9
16081,,M4044,742.9
16082,,M4045,742.9
16083,,M4046,742.9
16084,,M4047,742.9
16085,,M4048,742.9
16086,,M4049,742.9
16087,,M405,742.9
16088,,M4050,742.9
16089,,M4051,742.9
16090,,M4052,742.9
16091,,M4053,742.9
16092,,M4054,742.9
16093,,M4055,742.9
16094,,M4056,742.9
16095,,M4057,742.9
16096,,M4058,742.9
16097,,M4059,742.9
16098,,M41,742.9
16099,,M410,742.9
16100,,M4100,742.9
16101,,M4101,742.9
16102,,M4102,742.9
16103,,M4103,742.9
16104,,M4104,742.9
16105,,M4105,742.9
16106,,M4106,742.9
16107,,M4107,742.9
16108,,M4108,742.9
16109,,M4109,742.9
16110,,M411,742.9
16111,,M4110,742.9
16112,,M4111,742.9
16113,,M4112,742.9
16114,,M4113,742.9
16115,,M4114,742.9
16116,,M4115,742.9
16117,,M4116,742.9
16118,,M4117,742.9
16119,,M4118,742.9
16120,,M4119,742.9
16121,,M412,742.9
16122,,M4120,742.9
16123,,M4121,742.9
16124,,M4122,742.9
16125,,M4123,742.9
16126,,M4124,742.9
16127,,M4125,742.9
16128,,M4126,742.9
16129,,M4127,742.9
16130,,M4128,742.9
16131,,M4129,742.9
16132,,M413,742.9
16133,,M4130,742.9
16134,,M4131,742.9
16135,,M4132,742.9
16136,,M4133,742.9
16137,,M4134,742.9
16138,,M4135,742.9
16139,,M4136,742.9
16140,,M4137,742.9
16141,,M4138,742.9
16142,,M4139,742.9
16143,,M414,742.9
16144,,M4140,742.9
16145,,M4141,742.9
16146,,M4142,742.9
16147,,M4143,742.9
16148,,M4144,742.9
16149,,M4145,742.9
16150,,M4146,742.9
16151,,M4147,742.9
16152,,M4148,742.9
16153,,M4149,742.9
16154,,M415,742.9
16155,,M4150,742.9
16156,,M4151,742.9
16157,,M4152,742.9
16158,,M4153,742.9
16159,,M4154,742.9
16160,,M4155,742.9
16161,,M4156,742.9
16162,,M4157,742.9
16163,,M4158,742.9
16164,,M4159,742.9
16165,,M418,742.9
16166,,M4180,742.9
16167,,M4181,742.9
16168,,M4182,742.9
16169,,M4183,742.9
16170,,M4184,742.9
16171,,M4185,742.9
16172,,M4186,742.9
16173,,M4187,742.9
16174,,M4188,742.9
16175,,M4189,742.9
16176,,M419,742.9
16177,,M4190,742.9
16178,,M4191,742.9
16179,,M4192,742.9
16180,,M4193,742.9
16181,,M4194,742.9
16182,,M4195,742.9
16183,,M4196,742.9
16184,,M4197,742.9
16185,,M4198,742.9
16186,,M4199,742.9
16187,,M42,742.9
16188,,M420,742.9
16189,,M4200,742.9
16190,,M4201,742.9
16191,,M4202,742.9
16192,,M4203,742.9
16193,,M4204,742.9
16194,,M4205,742.9
16195,,M4206,742.9
16196,,M4207,742.9
16197,,M4208,742.9
16198,,M4209,742.9
16199,,M421,742.9
16200,,M4210,742.9
16201,,M4211,742.9
16202,,M4212,742.9
16203,,M4213,742.9
16204,,M4214,742.9
16205,,M4215,742.9
16206,,M4216,742.9
16207,,M4217,742.9
16208,,M4218,742.9
16209,,M4219,742.9
16210,,M429,742.9
16211,,M4290,742.9
16212,,M4291,742.9
16213,,M4292,742.9
16214,,M4293,742.9
16215,,M4294,742.9
16216,,M4295,742.9
16217,,M4296,742.9
16218,,M4297,742.9
16219,,M4298,742.9
16220,,M4299,742.9
16221,,M43,742.9
16222,,M430,742.9
16223,,M4300,742.9
16224,,M4301,742.9
16225,,M4302,742.9
16226,,M4303,742.9
16227,,M4304,742.9
16228,,M4305,742.9
16229,,M4306,742.9
16230,,M4307,742.9
16231,,M4308,742.9
16232,,M4309,742.9
16233,,M431,742.9
16234,,M4310,742.9
16235,,M4311,742.9
16236,,M4312,742.9
16237,,M4313,742.9
16238,,M4314,742.9
16239,,M4315,742.9
16240,,M4316,742.9
16241,,M4317,742.9
16242,,M4318,742.9
16243,,M4319,742.9
16244,,M432,742.9
16245,,M4320,742.9
16246,,M4321,742.9
16247,,M4322,742.9
16248,,M4323,742.9
16249,,M4324,742.9
16250,,M4325,742.9
16251,,M4326,742.9
16252,,M4327,742.9
16253,,M4328,742.9
16254,,M4329,742.9
16255,,M433,742.9
16256,,M4330,742.9
16257,,M4331,742.9
16258,,M4332,742.9
16259,,M4333,742.9
16260,,M4334,742.9
16261,,M4335,742.9
16262,,M4336,742.9
16263,,M4337,742.9
16264,,M4338,742.9
16265,,M4339,742.9
16266,,M434,742.9
16267,,M4340,742.9
16268,,M4341,742.9
16269,,M4342,742.9
16270,,M4343,742.9
16271,,M4344,742.9
16272,,M4345,742.9
16273,,M4346,742.9
16274,,M4347,742.9
16275,,M4348,742.9
16276,,M4349,742.9
16277,,M435,742.9
16278,,M4350,742.9
16279,,M4351,742.9
16280,,M4352,742.9
16281,,M4353,742.9
16282,,M4354,742.9
16283,,M4355,742.9
16284,,M4356,742.9
16285,,M4357,742.9
16286,,M4358,742.9
16287,,M4359,742.9
16288,,M436,742.9
16289,,M4360,742.9
16290,,M4361,742.9
16291,,M4362,742.9
16292,,M4363,742.9
16293,,M4364,742.9
16294,,M4365,742.9
16295,,M4366,742.9
16296,,M4367,742.9
16297,,M4368,742.9
16298,,M4369,742.9
16299,,M438,742.9
16300,,M4380,742.9
16301,,M4381,742.9
16302,,M4382,742.9
16303,,M4383,742.9
16304,,M4384,742.9
16305,,M4385,742.9
16306,,M4386,742.9
16307,,M4387,742.9
16308,,M4388,742.9
16309,,M4389,742.9
16310,,M439,742.9
16311,,M4390,742.9
16312,,M4391,742.9
16313,,M4392,742.9
16314,,M4393,742.9
16315,,M4394,742.9
16316,,M4395,742.9
16317,,M4396,742.9
16318,,M4397,742.9
16319,,M4398,742.9
16320,,M4399,742.9
16321,,M45,742.9
16322,,M45X0,742.9
16323,,M45X1,742.9
16324,,M45X2,742.9
16325,,M45X3,742.9
16326,,M45X4,742.9
16327,,M45X5,742.9
16328,,M45X6,742.9
16329,,M45X7,742.9
16330,,M45X8,742.9
16331,,M45X9,742.9
16332,,M46,742.9
16333,,M460,742.9
16334,,M4600,742.9
16335,,M4601,742.9
16336,,M4602,742.9
16337,,M4603,742.9
16338,,M4604,742.9
16339,,M4605,742.9
16340,,M4606,742.9
16341,,M4607,742.9
16342,,M4608,742.9
16343,,M4609,742.9
16344,,M461,742.9
16345,,M4610,742.9
16346,,M4611,742.9
16347,,M4612,742.9
16348,,M4613,742.9
16349,,M4614,742.9
16350,,M4615,742.9
16351,,M4616,742.9
16352,,M4617,742.9
16353,,M4618,742.9
16354,,M4619,742.9
16355,,M462,742.9
16356,,M4620,742.9
16357,,M4621,742.9
16358,,M4622,742.9
16359,,M4623,742.9
16360,,M4624,742.9
16361,,M4625,742.9
16362,,M4626,742.9
16363,,M4627,742.9
16364,,M4628,742.9
16365,,M4629,742.9
16366,,M463,742.9
16367,,M4630,742.9
16368,,M4631,742.9
16369,,M4632,742.9
16370,,M4633,742.9
16371,,M4634,742.9
16372,,M4635,742.9
16373,,M4636,742.9
16374,,M4637,742.9
16375,,M4638,742.9
16376,,M4639,742.9
16377,,M464,742.9
16378,,M4640,742.9
16379,,M4641,742.9
16380,,M4642,742.9
16381,,M4643,742.9
16382,,M4644,742.9
16383,,M4645,742.9
16384,,M4646,742.9
16385,,M4647,742.9
16386,,M4648,742.9
16387,,M4649,742.9
16388,,M465,742.9
16389,,M4650,742.9
16390,,M4651,742.9
16391,,M4652,742.9
16392,,M4653,742.9
16393,,M4654,742.9
16394,,M4655,742.9
16395,,M4656,742.9
16396,,M4657,742.9
16397,,M4658,742.9
16398,,M4659,742.9
16399,,M468,742.9
16400,,M4680,742.9
16401,,M4681,742.9
16402,,M4682,742.9
16403,,M4683,742.9
16404,,M4684,742.9
16405,,M4685,742.9
16406,,M4686,742.9
16407,,M4687,742.9
16408,,M4688,742.9
16409,,M4689,742.9
16410,,M469,742.9
16411,,M4690,742.9
16412,,M4691,742.9
16413,,M4692,742.9
16414,,M4693,742.9
16415,,M4694,742.9
16416,,M4695,742.9
16417,,M4696,742.9
16418,,M4697,742.9
16419,,M4698,742.9
16420,,M4699,742.9
16421,,M47,742.9
16422,,M470,742.9
16423,,M4700,742.9
16424,,M4701,742.9
16425,,M4702,742.9
16426,,M4703,742.9
16427,,M4704,742.9
16428,,M4705,742.9
16429,,M4706,742.9
16430,,M4707,742.9
16431,,M4708,742.9
16432,,M4709,742.9
16433,,M471,742.9
16434,,M4710,742.9
16435,,M4711,742.9
16436,,M4712,742.9
16437,,M4713,742.9
16438,,M4714,742.9
16439,,M4715,742.9
16440,,M4716,742.9
16441,,M4717,742.9
16442,,M4718,742.9
16443,,M4719,742.9
16444,,M472,742.9
16445,,M4720,742.9
16446,,M4721,742.9
16447,,M4722,742.9
16448,,M4723,742.9
16449,,M4724,742.9
16450,,M4725,742.9
16451,,M4726,742.9
16452,,M4727,742.9
16453,,M4728,742.9
16454,,M4729,742.9
16455,,M478,742.9
16456,,M4780,742.9
16457,,M4781,742.9
16458,,M4782,742.9
16459,,M4783,742.9
16460,,M4784,742.9
16461,,M4785,742.9
16462,,M4786,742.9
16463,,M4787,742.9
16464,,M4788,742.9
16465,,M4789,742.9
16466,,M479,742.9
16467,,M4790,742.9
16468,,M4791,742.9
