,OMIM_ID,HPO_ID
255,101400,369
256,101400,444
257,101400,460
258,101400,486
259,101400,508
260,101400,557
261,101400,586
262,101400,614
263,101400,1156
264,101400,1249
265,101400,1357
266,101400,1627
267,101400,1770
268,101400,1822
269,101400,2342
270,101400,2644
271,101400,2678
272,101400,2697
273,101400,2974
274,101400,3002
275,101400,3189
276,101400,3828
277,101400,4209
278,101400,4322
279,101400,4425
280,101400,4440
281,101400,4443
282,101400,8551
283,101400,9899
284,101400,9951
285,101400,9968
286,101400,10104
287,101400,11323
288,101400,12368
289,101400,30680
290,101600,6
291,101600,218
292,101600,238
293,101600,244
294,101600,303
295,101600,316
296,101600,327
297,101600,452
298,101600,453
299,101600,486
300,101600,494
301,101600,586
302,101600,678
303,101600,1249
304,101600,2308
305,101600,2676
306,101600,2780
307,101600,3041
308,101600,3070
309,101600,3196
310,101600,3795
311,101600,4440
312,101600,5280
313,101600,5347
314,101600,6101
315,101600,6110
316,101600,10055
317,101600,11304
318,101800,6
319,101800,28
320,101800,135
321,101800,238
322,101800,248
323,101800,286
324,101800,303
325,101800,316
326,101800,327
327,101800,365
328,101800,455
329,101800,486
330,101800,635
331,101800,648
332,101800,668
333,101800,684
334,101800,689
335,101800,858
336,101800,995
337,101800,1169
338,101800,1249
339,101800,1530
340,101800,1847
341,101800,2650
342,101800,3083
343,101800,3165
344,101800,3416
345,101800,4279
346,101800,4490
347,101800,5280
348,101800,5280
349,101800,5616
350,101800,5756
351,101800,8450
352,101800,8479
353,101800,8873
354,101800,9803
355,101800,10049
356,101800,10230
357,101800,10743
358,101805,6
359,101805,28
360,101805,47
361,101805,252
362,101805,349
363,101805,670
364,101805,954
365,101805,1511
366,101805,4279
367,101805,4467
368,101840,6
369,101840,2213
370,101840,12393
371,101840,200034
372,101840,200035
373,101850,6
374,101850,962
375,101850,200016
376,101900,6
377,101900,962
378,101900,1807
379,101900,25092
380,101900,200016
381,102000,6
382,102000,200015
383,102100,6
384,102100,98
385,102100,303
386,102100,478
387,102100,977
388,102100,1176
389,102100,1833
390,102100,10541
391,102100,30314
392,102150,6
393,102150,153
394,102150,414
395,102150,581
396,102150,1176
397,102150,1182
398,102150,1256
399,102150,1328
400,102150,1520
401,102150,2553
402,102200,6
403,102200,280
404,102200,822
405,102200,845
406,102200,858
407,102200,870
408,102200,1428
409,102200,1638
410,102200,1712
411,102200,2893
412,102200,6767
413,102200,11760
414,102200,30269
415,102200,40278
416,102200,100829
417,102300,6
418,102300,1336
419,102300,1425
420,102300,3401
421,102300,8991
422,102300,12452
423,102300,100785
424,102350,6
425,102350,951
426,102370,6
427,102370,160
428,102370,179
429,102370,311
430,102370,343
431,102370,414
432,102370,463
433,102370,527
434,102370,1072
435,102370,1609
436,102370,1773
437,102370,2002
438,102370,2750
439,102370,3026
440,102370,3300
441,102370,3510
442,102370,4279
443,102370,5900
444,102370,9803
445,102370,10049
446,102370,10579
447,102400,6
448,102400,3621
449,102400,9771
450,102400,10177
451,102500,6
452,102500,23
453,102500,28
454,102500,47
455,102500,107
456,102500,218
457,102500,238
458,102500,280
459,102500,286
460,102500,293
461,102500,343
462,102500,347
463,102500,369
464,102500,405
465,102500,445
466,102500,463
467,102500,470
468,102500,494
469,102500,506
470,102500,527
471,102500,574
472,102500,664
473,102500,689
474,102500,938
475,102500,939
476,102500,1007
477,102500,1388
478,102500,1508
479,102500,1537
480,102500,1643
481,102500,1671
482,102500,1799
483,102500,1842
484,102500,2566
485,102500,2645
486,102500,2688
487,102500,2751
488,102500,2756
489,102500,2857
490,102500,2953
491,102500,3083
492,102500,4322
493,102500,4586
494,102500,5463
495,102500,5758
496,102500,6180
497,102500,6480
498,102500,8421
499,102500,8462
500,102500,9748
501,102500,9771
502,102510,6
503,102510,765
504,102510,1241
505,102510,1770
506,102510,2652
507,102510,3468
508,102510,4601
509,102510,4614
510,102510,5048
511,102510,6101
512,102510,9467
513,102510,9611
514,102510,9778
515,102510,11304
516,102520,6
517,102520,1180
518,102520,12210
519,102530,7
520,102530,789
521,102530,12205
522,102650,6
523,102650,1597
524,102650,9776
525,102650,9778
526,102660,6
527,102660,2664
528,102700,7
529,102700,246
530,102700,907
531,102700,926
532,102700,1442
533,102700,1508
534,102700,1744
535,102700,1880
536,102700,1890
537,102700,1967
538,102700,1973
539,102700,2014
540,102700,2090
541,102700,2099
542,102700,2240
543,102700,2644
544,102700,2718
545,102700,2720
546,102700,2841
547,102700,2850
548,102700,3212
549,102700,4429
550,102700,4430
551,102700,5359
552,102700,5365
553,102700,5424
554,102700,8348
555,102700,10976
556,102700,12191
557,102700,30273
558,102730,6
559,102730,1878
560,102730,2149
561,102730,4446
562,102730,4823
563,102730,30270
564,102800,6
565,102800,1930
566,102900,6
567,102900,1901
568,102900,30271
569,103050,7
570,103050,154
571,103050,219
572,103050,219
573,103050,248
574,103050,252
575,103050,319
576,103050,343
577,103050,369
578,103050,463
579,103050,486
580,103050,639
581,103050,717
582,103050,718
583,103050,742
584,103050,748
585,103050,750
586,103050,752
587,103050,817
588,103050,1249
589,103050,1250
590,103050,1263
591,103050,1272
592,103050,1290
593,103050,1336
594,103050,1348
595,103050,1510
596,103050,2059
597,103050,2066
598,103050,2179
599,103050,2540
600,103050,3196
601,103050,3202
602,103050,3429
603,103050,3593
604,103050,5487
605,103050,6808
606,103050,11344
607,103050,40082
608,103100,6
609,103100,1265
610,103100,12074
611,103200,6
612,103200,716
613,103200,739
614,103200,1513
615,103200,2019
616,103200,2360
617,103200,2829
618,103200,3270
619,103200,3596
620,103200,3828
621,103200,7596
